iter	Passed	Remaining
0	132	132667
1	133	66614
2	134	44595
3	134	33610
4	135	26987
5	136	22576
6	136	19424
7	137	17063
8	138	15242
9	139	13763
10	139	12551
11	140	11557
12	141	10715
13	141	9995
14	142	9365
15	143	8807
16	143	8314
17	144	7878
18	145	7486
19	145	7132
20	146	6820
21	146	6534
22	147	6272
23	148	6033
24	149	5814
25	149	5608
26	150	5417
27	150	5238
28	151	5072
29	152	4921
30	152	4778
31	153	4643
32	154	4515
33	154	4398
34	155	4283
35	155	4175
36	156	4073
37	157	3977
38	157	3887
39	158	3802
40	159	3721
41	159	3642
42	160	3567
43	160	3496
44	161	3427
45	162	3362
46	162	3299
47	163	3239
48	163	3181
49	164	3128
50	165	3078
51	166	3027
52	166	2978
53	167	2930
54	167	2884
55	168	2839
56	169	2797
57	169	2757
58	170	2718
59	171	2680
60	172	2655
61	173	2620
62	173	2586
63	174	2551
64	175	2519
65	175	2487
66	176	2457
67	177	2429
68	177	2400
69	178	2372
70	179	2344
71	179	2319
72	180	2295
73	181	2270
74	182	2246
75	182	2221
76	183	2200
77	184	2177
78	184	2155
79	185	2132
80	186	2112
81	186	2092
82	187	2068
83	187	2048
84	188	2028
85	189	2009
86	189	1992
87	190	1974
88	191	1956
89	191	1938
90	192	1921
91	192	1904
92	193	1887
93	194	1871
94	194	1855
95	195	1839
96	196	1826
97	196	1812
98	197	1797
99	198	1783
100	198	1769
101	199	1756
102	200	1742
103	200	1729
104	201	1715
105	201	1702
106	202	1690
107	203	1678
108	203	1666
109	204	1654
110	205	1642
111	205	1630
112	206	1619
113	206	1607
114	207	1596
115	208	1585
116	208	1574
117	209	1564
118	209	1554
119	210	1544
120	211	1534
121	211	1523
122	212	1513
123	212	1503
124	213	1494
125	214	1485
126	214	1477
127	215	1468
128	216	1460
129	216	1452
130	217	1443
131	218	1434
132	218	1426
133	219	1417
134	220	1409
135	220	1401
136	221	1394
137	222	1387
138	222	1379
139	223	1371
140	223	1364
141	224	1355
142	224	1348
143	225	1340
144	226	1333
145	226	1326
146	227	1319
147	228	1313
148	228	1306
149	229	1300
150	230	1293
151	230	1287
152	231	1280
153	232	1274
154	232	1268
155	233	1262
156	234	1257
157	234	1251
158	235	1245
159	236	1240
160	236	1233
161	237	1227
162	237	1221
163	238	1215
164	239	1209
165	239	1204
166	240	1199
167	241	1193
168	241	1188
169	242	1183
170	243	1178
171	243	1172
172	244	1167
173	244	1162
174	245	1157
175	246	1152
176	246	1147
177	247	1142
178	248	1137
179	248	1132
180	249	1128
181	249	1123
182	250	1118
183	251	1113
184	251	1108
185	252	1104
186	253	1100
187	253	1096
188	254	1091
189	255	1087
190	255	1083
191	256	1078
192	257	1074
193	257	1070
194	258	1066
195	259	1062
196	259	1058
197	260	1054
198	261	1050
199	261	1046
200	262	1042
201	262	1038
202	263	1034
203	264	1030
204	264	1027
205	265	1023
206	266	1020
207	266	1016
208	267	1012
209	268	1008
210	268	1005
211	269	1001
212	270	997
213	270	994
214	271	990
215	272	987
216	272	984
217	273	981
218	274	977
219	274	974
220	275	970
221	275	967
222	276	963
223	277	960
224	277	957
225	278	954
226	279	950
227	279	947
228	280	944
229	281	941
230	281	937
231	282	934
232	282	931
233	283	928
234	284	925
235	284	922
236	285	919
237	286	916
238	286	913
239	287	910
240	287	906
241	288	903
242	289	900
243	289	897
244	290	895
245	291	892
246	291	890
247	292	887
248	293	884
249	293	881
250	294	879
251	295	876
252	296	874
253	296	871
254	297	869
255	298	866
256	298	864
257	299	861
258	300	859
259	300	856
260	301	853
261	302	851
262	302	848
263	303	846
264	304	844
265	304	841
266	305	838
267	306	836
268	306	833
269	307	831
270	308	828
271	308	826
272	309	823
273	309	821
274	310	818
275	311	816
276	311	814
277	312	811
278	313	809
279	313	806
280	314	804
281	315	802
282	315	799
283	316	797
284	316	795
285	317	792
286	318	790
287	318	788
288	319	786
289	320	783
290	320	781
291	321	779
292	321	776
293	322	775
294	323	772
295	324	770
296	324	768
297	325	766
298	325	764
299	326	761
300	327	759
301	327	757
302	328	755
303	329	753
304	329	751
305	330	749
306	331	747
307	331	745
308	332	743
309	332	741
310	333	738
311	334	736
312	334	734
313	335	733
314	336	731
315	337	730
316	337	728
317	338	726
318	339	724
319	339	722
320	340	720
321	341	718
322	341	716
323	342	714
324	343	712
325	343	710
326	344	708
327	344	706
328	345	704
329	346	702
330	346	701
331	347	699
332	348	697
333	349	696
334	349	694
335	350	692
336	350	690
337	351	688
338	352	686
339	352	684
340	353	682
341	354	681
342	354	679
343	355	677
344	356	676
345	356	674
346	357	672
347	357	670
348	358	668
349	359	667
350	359	665
351	360	664
352	361	662
353	362	660
354	362	658
355	363	657
356	363	655
357	364	653
358	365	652
359	365	650
360	366	649
361	367	647
362	368	645
363	368	644
364	369	643
365	370	641
366	370	639
367	371	638
368	372	636
369	372	635
370	373	633
371	374	631
372	374	630
373	375	628
374	376	626
375	376	625
376	377	623
377	378	622
378	378	620
379	379	618
380	380	617
381	380	615
382	381	614
383	381	612
384	382	611
385	383	609
386	383	607
387	384	606
388	384	604
389	385	603
390	386	601
391	387	600
392	387	598
393	388	597
394	388	595
395	389	594
396	390	592
397	390	591
398	391	589
399	392	588
400	392	587
401	393	585
402	394	584
403	394	582
404	395	581
405	396	579
406	396	577
407	397	576
408	398	575
409	398	573
410	399	572
411	399	570
412	400	569
413	401	567
414	401	566
415	402	564
416	402	563
417	403	561
418	404	560
419	405	559
420	405	557
421	406	556
422	406	555
423	407	553
424	408	552
425	408	550
426	409	549
427	409	547
428	410	546
429	411	545
430	411	543
431	412	542
432	413	541
433	413	539
434	414	538
435	415	536
436	415	535
437	416	534
438	416	532
439	417	531
440	418	530
441	418	528
442	419	527
443	420	526
444	420	524
445	421	523
446	422	522
447	422	520
448	423	519
449	424	518
450	424	516
451	425	515
452	425	514
453	426	513
454	427	511
455	427	510
456	428	509
457	429	507
458	429	506
459	430	505
460	431	504
461	431	502
462	432	501
463	433	500
464	433	499
465	434	497
466	434	496
467	435	495
468	436	493
469	436	492
470	437	491
471	438	490
472	438	489
473	439	487
474	440	486
475	440	485
476	441	484
477	442	482
478	442	481
479	443	480
480	444	479
481	445	478
482	445	477
483	446	476
484	447	474
485	447	473
486	448	472
487	449	471
488	450	470
489	451	469
490	451	468
491	452	467
492	453	465
493	453	464
494	454	463
495	455	462
496	455	461
497	456	460
498	457	459
499	457	457
500	458	456
501	459	455
502	459	454
503	460	453
504	461	451
505	461	450
506	462	449
507	463	448
508	463	447
509	464	446
510	465	445
511	465	444
512	466	442
513	467	441
514	467	440
515	468	439
516	469	438
517	469	437
518	470	436
519	471	434
520	471	433
521	472	432
522	473	431
523	473	430
524	474	429
525	475	428
526	475	427
527	476	425
528	477	424
529	477	423
530	478	422
531	478	421
532	479	420
533	480	419
534	480	418
535	481	416
536	482	415
537	482	414
538	483	413
539	483	412
540	484	411
541	485	410
542	485	408
543	486	407
544	487	406
545	488	405
546	488	404
547	489	403
548	489	402
549	490	401
550	491	400
551	491	399
552	492	397
553	493	396
554	493	395
555	494	394
556	494	393
557	495	392
558	496	391
559	496	390
560	497	389
561	498	388
562	498	387
563	499	386
564	500	384
565	500	383
566	501	382
567	501	381
568	502	380
569	503	379
570	503	378
571	504	377
572	504	376
573	505	375
574	506	374
575	507	373
576	507	372
577	508	371
578	509	370
579	509	369
580	510	367
581	510	366
582	511	365
583	512	364
584	513	363
585	513	362
586	514	361
587	514	360
588	515	359
589	516	358
590	516	357
591	517	356
592	517	355
593	518	354
594	519	353
595	520	352
596	521	351
597	522	350
598	522	350
599	523	349
600	524	348
601	524	347
602	525	346
603	526	344
604	526	344
605	527	343
606	528	342
607	528	340
608	529	339
609	530	339
610	531	338
611	531	337
612	532	336
613	533	335
614	533	334
615	534	333
616	535	332
617	535	331
618	536	330
619	537	329
620	538	328
621	538	327
622	539	326
623	540	325
624	541	324
625	542	323
626	542	322
627	543	321
628	544	321
629	545	320
630	545	319
631	546	318
632	547	317
633	547	316
634	548	315
635	549	314
636	550	313
637	551	312
638	551	311
639	552	310
640	553	309
641	553	308
642	554	307
643	554	306
644	555	305
645	556	304
646	557	303
647	557	302
648	558	302
649	559	301
650	559	300
651	560	299
652	560	298
653	561	297
654	562	296
655	563	295
656	563	294
657	564	293
658	565	292
659	565	291
660	566	290
661	566	289
662	567	288
663	568	287
664	568	286
665	569	285
666	570	284
667	570	283
668	571	282
669	572	281
670	572	280
671	573	279
672	574	278
673	574	277
674	575	277
675	576	276
676	577	275
677	577	274
678	578	273
679	578	272
680	579	271
681	580	270
682	580	269
683	581	268
684	582	267
685	583	266
686	583	265
687	584	265
688	585	264
689	585	263
690	586	262
691	586	261
692	587	260
693	588	259
694	589	258
695	589	257
696	590	256
697	591	255
698	591	254
699	592	253
700	592	252
701	593	251
702	594	251
703	594	250
704	595	249
705	596	248
706	596	247
707	597	246
708	598	245
709	598	244
